2025-09-08 07:10:17,759 | aci.level1.info | INFO | Initializing SeedExperience simulation
2025-09-08 07:10:17,772 | aci.level2.info | INFO | Memory consolidator initialized
2025-09-08 07:10:23,201 | aci.level2.info | INFO | Memory load: episodic_memory
2025-09-08 07:10:23,216 | aci.level2.info | INFO | Memory load: autobiographical_narrative
2025-09-08 07:11:16,088 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 07:11:17,502 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 07:11:18,776 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 07:11:20,206 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 07:11:28,259 | aci.level2.info | INFO | Memory load: memory_graph
2025-09-08 07:11:28,325 | aci.level1.info | INFO | Default Mode Network initialized with persistent memory
2025-09-08 07:11:29,380 | aci.level1.info | INFO | Loaded existing episodic memories
2025-09-08 07:11:29,391 | aci.level1.info | INFO | Loaded existing narrative memories
2025-09-08 07:11:29,436 | aci.level1.info | INFO | SeedExperience initialized
2025-09-08 07:11:29,442 | aci.level1.info | INFO | Starting simulation
2025-09-08 07:11:29,451 | aci.level2.info | INFO | Simulation step started
2025-09-08 07:11:29,457 | aci.level1.info | INFO | World Event: A person resembling Plato sits down on the bench
2025-09-08 07:11:29,469 | aci.level1.info | INFO | World Event: Conversation started with Plato
2025-09-08 07:11:29,476 | aci.level1.info | INFO | Thought: Time seems to pass slowly when waiting.
2025-09-08 07:11:29,488 | aci.level1.info | INFO | World Event: step_start
2025-09-08 07:11:29,497 | aci.level2.info | INFO | PROCESS: Sensory input received
2025-09-08 07:11:29,586 | aci.level1.info | INFO | World Event: input
2025-09-08 07:11:29,591 | aci.level3.debug | DEBUG | NT_LEVELS: dopamine=0.60, serotonin=0.70, norepinephrine=0.50, oxytocin=0.40, testosterone=0.50, histamine=0.30, acetylcholine=0.60, glutamate=0.70, gaba=0.60
2025-09-08 07:11:29,640 | aci.level2.info | INFO | PROCESS: Scene analysis completed
2025-09-08 07:11:38,363 | aci.level2.info | INFO | PROCESS: Generated thought: Time seems to pass slowly when waiting....
2025-09-08 07:11:38,947 | aci.level2.info | INFO | Memory save: episodic_memory
2025-09-08 07:11:53,183 | aci.level2.info | INFO | PROCESS: Memory retrieval completed
2025-09-08 07:11:53,190 | aci.level2.info | INFO | PROCESS: Thought graph analysis completed
2025-09-08 07:11:53,194 | aci.level1.info | INFO | THOUGHT: Selected action: speak - Yes, when waiting, people often experience time as...
2025-09-08 07:12:07,679 | aci.level2.info | INFO | Memory create: floating_memory
2025-09-08 07:12:07,686 | aci.level3.debug | DEBUG | NT_LEVELS: dopamine=0.00, serotonin=0.00, norepinephrine=0.00, oxytocin=1.94, testosterone=1.67, histamine=0.28, acetylcholine=0.54, glutamate=0.62, gaba=0.54
2025-09-08 07:12:13,527 | aci.level1.error | ERROR | Failed to extract and store knowledge: 'str' object has no attribute 'value'
2025-09-08 07:12:13,747 | aci.level2.info | INFO | MEMORY [knowledge_extraction] Periodic extraction completed
2025-09-08 07:12:13,751 | aci.level3.info | INFO | Layer 1 GC completed
2025-09-08 07:12:13,754 | aci.level2.info | INFO | Memory consolidate: layer1_gc
2025-09-08 07:12:13,758 | aci.level2.info | INFO | Performance: memory_consolidation_duration = 0.003408193588256836 seconds
