2025-09-08 18:20:19,378 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:20:21,970 | aci.level4.error | ERROR | Failed to extract and store knowledge: 'str' object has no attribute 'value'
2025-09-08 18:20:22,113 | aci.level4.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
2025-09-08 18:20:44,035 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:21:10,634 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:21:44,979 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:22:40,277 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:23:36,657 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:23:58,221 | aci.level4.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
2025-09-08 18:24:25,250 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:25:13,038 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:26:01,981 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:26:51,160 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:27:30,212 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:27:32,952 | aci.level4.error | ERROR | Failed to extract and store knowledge: 'str' object has no attribute 'value'
2025-09-08 18:27:33,077 | aci.level4.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
2025-09-08 18:28:00,514 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:28:47,320 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:29:20,671 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:29:49,514 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:30:19,796 | aci.level4.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:30:20,507 | aci.level4.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
